address,area,price,property_status,price_per_m2,bedroom,toilets,floornumber,property_legal,furniture
"Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","1,76 tỷ",76 m²,Chưa bàn giao,"23,16 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"Bàu Cát 7, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","1,55 tỷ",42 m²,Đã bàn giao,"36,9 triệu/m²",1 phòng,,,Đã có sổ,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,5 tỷ",67 m²,Đã bàn giao,"37,31 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản
"Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,72 tỷ",56 m²,Chưa bàn giao,"30,71 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,45 tỷ",68 m²,Đã bàn giao,"36,03 triệu/m²",2 phòng,2 phòng,,Đã có sổ,
"961, DUONG HAU GIANG, Phường 11, Quận 6, Tp Hồ Chí Minh","3,1 tỷ",86 m²,Đã bàn giao,"36,05 triệu/m²",2 phòng,2 phòng,5,Đã có sổ,Hoàn thiện cơ bản
"128, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","1,9 tỷ",36 m²,Đã bàn giao,"52,78 triệu/m²",1 phòng,,5,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,37 tỷ",76 m²,Đã bàn giao,"57,5 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","3,72 tỷ",70 m²,Đã bàn giao,"53,14 triệu/m²",2 phòng,2 phòng,,,
"20, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,36 tỷ",72 m²,Đã bàn giao,"18,89 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,Nội thất cao cấp
"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","3,45 tỷ",58 m²,Đã bàn giao,"59,48 triệu/m²",2 phòng,,16,Giấy tờ khác,Nội thất đầy đủ
"290, An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","2,7 tỷ",38 m²,Đã bàn giao,"71,05 triệu/m²",1 phòng,1 phòng,,,
"Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh",550 triệu,31 m²,Chưa bàn giao,"17,74 triệu/m²",1 phòng,1 phòng,,Giấy tờ khác,Hoàn thiện cơ bản
"239 – 241 – 278, 239 – 241 – 278  239 – 241 – 278 Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","4,3 tỷ",92 m²,Đã bàn giao,"46,74 triệu/m²",3 phòng,2 phòng,7,Đã có sổ,Nội thất đầy đủ
"Đường Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","2,15 tỷ",62 m²,Chưa bàn giao,"34,68 triệu/m²",2 phòng,1 phòng,2,Đã có sổ,Bàn giao thô
"Đường Mai Chí Thọ, phường Thủ Thiêm, quận 2, Tp.HCM, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",7 tỷ,64 m²,Đã bàn giao,"109,38 triệu/m²",1 phòng,1 phòng,2,Đang chờ sổ,Nội thất cao cấp
"Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, TP HCM., Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,942850254 tỷ",64 m²,Đã bàn giao,"45,98 triệu/m²",3 phòng,2 phòng,13,Đã có sổ,Hoàn thiện cơ bản
"262/3, Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",3 tỷ,70 m²,Chưa bàn giao,"42,86 triệu/m²",2 phòng,2 phòng,11,Đã có sổ,Nội thất đầy đủ
"Số 132, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","2,8 tỷ",30 m²,Đã bàn giao,"93,33 triệu/m²",1 phòng,1 phòng,5,,Nội thất cao cấp
"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",5 tỷ,86.1 m²,Đã bàn giao,"58,07 triệu/m²",3 phòng,,,,
"346, 346 346 Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh, Phường 1, Quận 4, Tp Hồ Chí Minh","8,6 tỷ",133 m²,Đã bàn giao,"64,66 triệu/m²",3 phòng,3 phòng,,,
"491, Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh","3,88 tỷ",97 m²,Đã bàn giao,40 triệu/m²,2 phòng,2 phòng,3,Đã có sổ,Nội thất đầy đủ
"D1, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","1,85 tỷ",1 m²,Đã bàn giao,"1,85 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,
"50, Phan Văn Khỏe, Phường 2, Quận 6, Tp Hồ Chí Minh","1,52 tỷ",62 m²,Đã bàn giao,"24,52 triệu/m²",2 phòng,2 phòng,,,
"7A, Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","1,45 tỷ",68 m²,Đã bàn giao,"21,32 triệu/m²",2 phòng,2 phòng,9,,Nội thất đầy đủ
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,68 tỷ",1 m²,Đã bàn giao,"1,68 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,85 tỷ",52 m²,Chưa bàn giao,"35,58 triệu/m²",1 phòng,1 phòng,14,Đang chờ sổ,Hoàn thiện cơ bản
"Đường Đỗ Xuân Hợp, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,200000002 tỷ",46 m²,Đã bàn giao,"26,09 triệu/m²",1 phòng,1 phòng,,,Nội thất đầy đủ
"70, Lữ Gia, Phường 15, Quận 11, Tp Hồ Chí Minh","1,75 tỷ",75 m²,Đã bàn giao,"23,33 triệu/m²",2 phòng,,,,
"Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","1,76 tỷ",76 m²,Chưa bàn giao,"23,16 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"Số 1472, Số 1472 Số 1742 Đại Lộ Võ Văn Kiệt, Phường 3, Quận 6, Thành phố Hồ Chí Minh, Phường 3, Quận 6, Tp Hồ Chí Minh","1,86 tỷ",1 m²,Đã bàn giao,"1,86 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,2 tỷ",52 m²,Chưa bàn giao,"23,08 triệu/m²",2 phòng,,,,
"86, Tản Đà, Phường 11, Quận 5, Tp Hồ Chí Minh","1,85 tỷ",1 m²,Đã bàn giao,"1,85 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,
"Số 181, Số 181 Số 181 Đường Cao Thắng, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Phường 12, Quận 10, Tp Hồ Chí Minh","1,4 tỷ",55 m²,Đã bàn giao,"25,45 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ
"205, Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh","1,92 tỷ",75 m²,Đã bàn giao,"25,6 triệu/m²",2 phòng,2 phòng,,Đã có sổ,
"Số 1472, Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh","1,65 tỷ",68 m²,Đã bàn giao,"24,26 triệu/m²",2 phòng,2 phòng,,,
"Hẻm 569 Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,9 tỷ",64.5 m²,Đã bàn giao,"29,46 triệu/m²",2 phòng,1 phòng,,Đã có sổ,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,93 tỷ",74 m²,Đã bàn giao,"26,08 triệu/m²",2 phòng,2 phòng,,,
"346, 346 346 Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh, Phường 1, Quận 4, Tp Hồ Chí Minh","4,7 tỷ",92 m²,Đã bàn giao,"51,09 triệu/m²",2 phòng,2 phòng,,,
"Đường Nguyễn Văn Luông , Phường 12, Quận 6, Thành phố Hồ Chí Minh, Phường 12, Quận 6, Tp Hồ Chí Minh","1,45 tỷ",54 m²,Chưa bàn giao,"26,85 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"491, Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh","3,39 tỷ",83 m²,Chưa bàn giao,"40,84 triệu/m²",2 phòng,2 phòng,21,Đã có sổ,Nội thất đầy đủ
"Đường Lý Nam Đế, Phường 7, Quận 11, Hồ Chí Minh, Phường 7, Quận 11, Tp Hồ Chí Minh","1,36 tỷ",75 m²,Đã bàn giao,"18,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
"Số 90, Số 90 Số 90 Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, Tp.HCM, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,99 tỷ",1 m²,Đã bàn giao,"1,99 tỷ/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ
"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,99 tỷ",59 m²,Đã bàn giao,"50,68 triệu/m²",2 phòng,2 phòng,,,Hoàn thiện cơ bản
"số 23, Hẻm 20 Đường Phú Thuận, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","3,58 tỷ",77 m²,Đã bàn giao,"46,49 triệu/m²",2 phòng,,,,
"Nguyễn Oanh, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","2,8 tỷ",67 m²,Chưa bàn giao,"41,79 triệu/m²",2 phòng,2 phòng,,,
"B2 - 908, Đường Số 3A, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh","1,6 tỷ",55 m²,Chưa bàn giao,"29,09 triệu/m²",2 phòng,1 phòng,10,Đã có sổ,Hoàn thiện cơ bản
"56, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh","1,43 tỷ",68 m²,Đã bàn giao,"21,03 triệu/m²",2 phòng,2 phòng,9,,Nội thất đầy đủ
"291/2, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","1,53 tỷ",1 m²,Đã bàn giao,"1,53 tỷ/m²",2 phòng,2 phòng,12,Đã có sổ,Nội thất đầy đủ
