address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,8 tỷ",Vinhomes Grand Park,59 m²,Chưa bàn giao,"47,46 triệu/m²",2 phòng,1 phòng,,,,,,
"D5, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","2,7 tỷ",Chung cư D5 Bình Thạnh,73 m²,Đã bàn giao,"36,99 triệu/m²",2 phòng,2 phòng,,,,,,
"Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","2,161 tỷ",Central Premium,37 m²,Chưa bàn giao,"58,41 triệu/m²",1 phòng,1 phòng,14,,Hoàn thiện cơ bản,Tây Nam,Đông Bắc,
"68 Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","3,45 tỷ",Sky Garden 3,74 m²,Đã bàn giao,"46,62 triệu/m²",2 phòng,2 phòng,,,,,,
"Phố 66, Phường Thảo Điền, Quận 2, Hồ Chí Minh, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",4 tỷ,Tropic Garden,88 m²,Đã bàn giao,"45,45 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,Tây Bắc,
"Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,99 tỷ",Saigon Pearl,90 m²,Đã bàn giao,"22,11 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"346, 346 346 Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh, Phường 1, Quận 4, Tp Hồ Chí Minh","1,49 tỷ",The Gold View,80 m²,Đã bàn giao,"18,63 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",Orchid Park,72 m²,Đã bàn giao,"24,31 triệu/m²",2 phòng,2 phòng,,,,,,
"Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","3,011 tỷ",Central Premium,51 m²,Chưa bàn giao,"59,04 triệu/m²",1 phòng,1 phòng,8,,Hoàn thiện cơ bản,Đông Bắc,Tây Nam,
"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,42 tỷ",LuxGarden,68 m²,Đã bàn giao,"35,59 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"D1, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","6,5 tỷ",Wilton Tower,93 m²,Chưa bàn giao,"69,89 triệu/m²",3 phòng,2 phòng,18,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,
"Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","4,616 tỷ",Central Premium,88 m²,Chưa bàn giao,"52,45 triệu/m²",3 phòng,2 phòng,21,,Hoàn thiện cơ bản,Đông Bắc,Tây Nam,Căn góc
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Sunview Town,57 m²,Đã bàn giao,"29,82 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","5,5 tỷ",Eco Green Sài Gòn,95 m²,Đã bàn giao,"57,89 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,92 tỷ",Skyway Residence,75 m²,Đã bàn giao,"25,6 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,55 tỷ",The Sun Avenue,61 m²,Chưa bàn giao,"41,8 triệu/m²",1 phòng,,,,,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","6,3 tỷ",Sunrise City,125 m²,Đã bàn giao,"50,4 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,Căn góc
