address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Số 27, Trường Chinh, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",2 tỷ,Kim Tâm Hải Apartment,109 m²,Đã bàn giao,"18,35 triệu/m²",3 phòng,3 phòng,,,,Nam,Tây,Căn góc
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",3 tỷ,Sunrise Riverside,70 m²,Đã bàn giao,"42,86 triệu/m²",2 phòng,2 phòng,,,Bàn giao thô,Đông,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","6,3 tỷ",Sunrise City,130 m²,Đã bàn giao,"48,46 triệu/m²",3 phòng,2 phòng,19,,,,,Căn góc
"Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2 tỷ,Căn hộ Hoàng Quốc Việt,55 m²,Đã bàn giao,"36,36 triệu/m²",2 phòng,1 phòng,,Đã có sổ,,Đông,,
"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","2,811 tỷ",City Garden,70 m²,Chưa bàn giao,"40,16 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"116, Số 116 Đường Lý Chiêu Hoàng, Phường 10, Quận 6, TP Hồ Chí Minh, Phường 10, Quận 6, Tp Hồ Chí Minh","1,95 tỷ",The Western Capital,50 m²,Đã bàn giao,39 triệu/m²,2 phòng,,,,,,,
"Hẻm 1 Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh","3,19 tỷ",Căn hộ Luxcity,82 m²,Đã bàn giao,"38,9 triệu/m²",2 phòng,2 phòng,,,,,,
"586, 2-Mar, Phường 15, Quận 11, Tp Hồ Chí Minh","7,6 tỷ",The Park Avenue,91.21 m²,Chưa bàn giao,"83,32 triệu/m²",3 phòng,3 phòng,,Giấy tờ khác,Hoàn thiện cơ bản,Đông Nam,Đông Bắc,Căn góc
"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,2 tỷ",LuxGarden,62 m²,Đã bàn giao,"35,48 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","3,72 tỷ",Eco Green Sài Gòn,70 m²,Đã bàn giao,"53,14 triệu/m²",2 phòng,2 phòng,,,,Bắc,Nam,
