address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,63 tỷ",Chung cư Lê Thành,71.8 m²,Đã bàn giao,"22,7 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,,,,
"Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,45 tỷ",Vista Verde,51 m²,Đã bàn giao,"67,65 triệu/m²",1 phòng,1 phòng,12,,,,,
"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,75 tỷ",Lumiere Boulevard,54 m²,Chưa bàn giao,"69,44 triệu/m²",2 phòng,1 phòng,24,Đã có sổ,Hoàn thiện cơ bản,,,
"Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh","3,25 tỷ",Chung cư Mỹ Phước,81 m²,Đã bàn giao,"40,12 triệu/m²",3 phòng,2 phòng,9,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,Đông Nam,
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,61 tỷ",Dream Home Riverside,1 m²,Đã bàn giao,"1,61 tỷ/m²",2 phòng,2 phòng,,,,,,
"27, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,65 tỷ",Carillon 2,70 m²,Đã bàn giao,"37,86 triệu/m²",2 phòng,2 phòng,,,,,,
"Lô 11B KĐT Nam Thành Phố, Lô 11B KĐT Nam Thành Phố Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","1,39 tỷ",Happy City - Khu đô thị Hạnh Phúc,67 m²,Chưa bàn giao,"20,75 triệu/m²",2 phòng,1 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,
"Lê Đại Hành, Phường 15, Quận 11, Tp Hồ Chí Minh","1,52 tỷ",The Flemington,118 m²,Đã bàn giao,"12,88 triệu/m²",3 phòng,,8,Đã có sổ,Nội thất đầy đủ,,,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","2,75 tỷ",Richmond City,66 m²,Đã bàn giao,"41,67 triệu/m²",2 phòng,2 phòng,9,Đã có sổ,Nội thất đầy đủ,,,
"91, Phạm Văn Hai, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh","1,26 tỷ",Central Plaza - 91 Phạm Văn Hai,60 m²,Đã bàn giao,21 triệu/m²,2 phòng,2 phòng,6,Đã có sổ,Nội thất đầy đủ,,,
