address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","4,5 tỷ",Eco Green Sài Gòn,66 m²,Đã bàn giao,"68,18 triệu/m²",2 phòng,1 phòng,7,Giấy tờ khác,Nội thất đầy đủ,Bắc,Nam,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,4 tỷ",Saigon Riverside Complex Q7,67 m²,Chưa bàn giao,"35,82 triệu/m²",2 phòng,2 phòng,,,,,,
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,1 tỷ",Saigon Gateway,73 m²,Đã bàn giao,"28,77 triệu/m²",2 phòng,2 phòng,,,,,,
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh, Phường 16, Quận 8, Tp Hồ Chí Minh",2 tỷ,Diamond Riverside (City Gate Towers 2),73 m²,Đã bàn giao,"27,4 triệu/m²",2 phòng,2 phòng,,,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,5 tỷ",The Sun Avenue,56 m²,Đã bàn giao,"62,5 triệu/m²",2 phòng,1 phòng,,,,,,
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,89 tỷ",Dream Home Riverside,75 m²,Chưa bàn giao,"25,2 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","4,1 tỷ",Sunrise Riverside,99 m²,Đã bàn giao,"41,41 triệu/m²",3 phòng,2 phòng,,Đã có sổ,,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,65 tỷ",Celadon City,53 m²,Đã bàn giao,50 triệu/m²,1 phòng,1 phòng,5,Đang chờ sổ,Nội thất đầy đủ,Tây Bắc,Đông Nam,
"Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh","1,4 tỷ",NBB Garden 3_City Gate 3,51 m²,Chưa bàn giao,"27,45 triệu/m²",1 phòng,1 phòng,,,,,,
"111B, 111B Đường Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","1,43 tỷ",Căn hộ Quang Thái,69 m²,Chưa bàn giao,"20,72 triệu/m²",2 phòng,1 phòng,,,,Đông,,
"113/89 113/89 An Dương Vương, P.An Lạc, Q.Bình Tân, TP. Hồ Chí Minh., Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,89 tỷ",Chung cư Lê Thành,78 m²,Đã bàn giao,"24,23 triệu/m²",2 phòng,2 phòng,14,Đã có sổ,Hoàn thiện cơ bản,Đông,Tây,
"Nguyễn Hữu Thọ, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","9,2 tỷ",The Landmark 81 - Vinhomes Central Park,110 m²,Đã bàn giao,"83,64 triệu/m²",3 phòng,,,,,,,
"117, Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","1,97 tỷ",Léman Luxury Apartments,76 m²,Đã bàn giao,"25,92 triệu/m²",2 phòng,,,,,,,
"Song Hành, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,15 tỷ",Jamila Khang Điền,75 m²,Đã bàn giao,42 triệu/m²,2 phòng,2 phòng,,,,,,
"168, Phan Văn Trị, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","4,05 tỷ",Cityland Garden Hills - Gò Vấp,72 m²,Đã bàn giao,"56,25 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Tây,,
"53-55, Bà Huyện Thanh Quan, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","1,45 tỷ",Saigon Pavillon,1 m²,Đã bàn giao,"1,45 tỷ/m²",3 phòng,1 phòng,8,Đã có sổ,Nội thất đầy đủ,,,
"Số 200, 12, Phường 12, Quận 10, Tp Hồ Chí Minh","1,876 tỷ",Hà Đô Centrosa Garden,68 m²,Đã bàn giao,"27,59 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",2 tỷ,Dream Home Palace,80 m²,Đã bàn giao,25 triệu/m²,3 phòng,2 phòng,,,,,,
"346, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh","4,3 tỷ",The Gold View,80 m²,Đã bàn giao,"53,75 triệu/m²",2 phòng,2 phòng,,,,,,
"Bình Trưng Đông, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,35 tỷ",Chung cư Petroland Quận 2,74 m²,Đã bàn giao,"31,76 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Đông Nam,Tây Bắc,Căn góc
